taxa,SRR7611279,SRR7611280,SRR7611281,SRR7611282,SRR7611283,SRR7611284,SRR7611285,SRR7611286,SRR7611287,SRR7611288,SRR7611289,SRR7611290,SRR7611291,SRR7611292,SRR7611293,SRR7611294,SRR7611295,SRR7611296,SRR7611297,SRR7611298,SRR7611299,SRR7611300,SRR7611301,SRR7611302,SRR7611303,SRR7611304,SRR7611305,SRR7611306,SRR7611307,SRR7611308,SRR7611309,SRR7611310,SRR7611311,SRR7611312,SRR7611313,SRR7611314,SRR7611315,SRR7611316,SRR7611317,SRR7611318,SRR7611319,SRR7611320,SRR7611321,SRR7611322,SRR7611323,SRR7611324,SRR7611325,SRR7611326,SRR7611327,SRR7611328,SRR7611329,SRR7611330,SRR7611331,SRR7611332,SRR7611333,SRR7611334,SRR7611335,SRR7611336,SRR7611337,SRR7611338,SRR7611339,SRR7611340,SRR7611341,SRR7611342,SRR7611343,SRR7611344,SRR7611345,SRR7611346,SRR7611347,SRR7611348,SRR7611349,SRR7611350,SRR7611351,SRR7611352,SRR7611353,SRR7611354,SRR7611355,SRR7611356,SRR7611357,SRR7611358,SRR7611359,SRR7611360,SRR7611361,SRR7611362,SRR7611363,SRR7611364,SRR7611365,SRR7611366,SRR7611367,SRR7611368,SRR7611369,SRR7611370,SRR7611371,SRR7611372,SRR7611373,SRR7611374,SRR7611375,SRR7611376,SRR7611377,SRR7611378,SRR7611379,SRR7611380,SRR7611381,SRR7611382,SRR7611383,SRR7611384,SRR7611385,SRR7611386,SRR7611387,SRR7611388,SRR7611389,SRR7611390,SRR7611391,SRR7611392,SRR7611393,SRR7611394,SRR7611395,SRR7611396,SRR7611397,SRR7611398,SRR7611399,SRR7611400,SRR7611401,SRR7611402,SRR7611403,SRR7611404,SRR7611405,SRR7611406,SRR7611407,SRR7611408,SRR7611409,SRR7611410,SRR7611411,SRR7611412,SRR7611413,SRR7611414,SRR7611415,SRR7611416,SRR7611417,SRR7611418,SRR7611419,SRR7611420,SRR7611421,SRR7611422,SRR7611423,SRR7611424,SRR7611425,SRR7611426,SRR7611427,SRR7611428,SRR7611429,SRR7611430,SRR7611431,SRR7611432,SRR7611433,SRR7611434,SRR7611435,SRR7611436,SRR7611437,SRR7611438,SRR7611439,SRR7611440,SRR7611441,SRR7611442,SRR7611443,SRR7611444,SRR7611445,SRR7611446,SRR7611447,SRR7611448,SRR7611449,SRR7611450,SRR7611451,SRR7611452,SRR7611453,SRR7611454,SRR7611455,SRR7611456,SRR7611457,SRR7611458,SRR7611459,SRR7611460,SRR7611461,SRR7611462,SRR7611463,SRR7611464,SRR7611465,SRR7611466,SRR7611467,SRR7611468,SRR7611469,SRR7611470,SRR7611471,SRR7611472,SRR7611473,SRR7611474,SRR7611475,SRR7611476,SRR7611477,SRR7611478,SRR7611479,SRR7611480,SRR7611481,SRR7611482,SRR7611483,SRR7611484,SRR7611485,SRR7611486,taxonomy
Bacteroides,11392,8294,5327,7748,10369,2363,19652,18794,15241,9431,9983,22125,3730,8814,3552,2322,4525,3679,3789,3419,7939,275,14960,22352,2904,13557,13786,4633,19014,2511,6169,10976,11,13,16,14,5489,54902,3990,22546,1473,6635,1954,4042,4310,4157,10275,1842,16380,16959,17677,6714,14023,1372,1458,9791,9991,16536,9676,1854,1684,14360,10520,8000,11118,4311,2525,4463,4340,13033,2943,10531,15859,474,7250,4511,4389,7276,7052,3548,3493,7940,17952,3125,2296,3075,7730,4548,9512,16172,1427,2911,11396,9274,19866,7141,26740,25722,9368,17104,3671,27926,38888,9704,22907,8782,8695,9352,18,5971,17031,11899,1580,5578,25075,28563,9683,9561,23677,3922,3770,352,10,9501,3796,11747,24020,2502,2582,3650,3006,9535,8034,5007,21347,11939,19910,14657,6288,1686,2733,8650,4421,6898,11992,3736,6206,13580,7622,8351,2021,6524,12834,12829,17857,18065,11,14721,12296,80124,84576,21154,7858,6103,51948,4129,7648,3509,21630,2458,67743,18113,30433,1790,34473,6421,4539,12898,15124,30828,30470,32393,6928,26759,15923,8314,3930,8815,4778,15719,7296,6903,10274,19335,7765,3670,6871,21423,8647,30405,12690,2463,34687,17620,16499,16485,9748,8254,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Faecalibacterium,1038,1735,1335,1196,1621,333,1311,1596,1833,1706,710,960,1788,1379,1047,961,1321,2129,2018,1247,2337,135,514,628,1272,373,47,43,2793,22,807,1042,0,3,3,4,1958,6768,3910,3024,390,3274,627,951,1112,719,890,286,2915,2065,2035,3449,2261,1324,1770,1571,1113,2330,2325,1331,704,3213,1257,2794,2249,275,195,133,98,365,112,174,4328,13,2631,2059,2442,2651,1348,4656,1648,4400,5885,108,255,756,646,1032,1221,1220,2412,2456,2251,2680,1412,638,2434,1559,507,1050,286,2178,5838,1016,2286,1127,973,247,0,283,1057,222,50,7811,672,549,855,4410,1588,1048,825,361,6,3367,8307,1363,8411,1182,561,1323,551,4001,2102,610,4832,1242,2906,3494,947,535,298,1078,401,960,1293,1509,1936,2222,1288,1046,433,1261,517,1656,2768,2152,0,817,659,7672,5439,3956,1013,230,3097,624,936,898,4696,422,9882,2334,2916,319,9026,1198,473,2571,3731,3128,2597,2676,5531,3321,621,271,2887,2410,5175,1553,1829,1664,3407,6754,2146,1298,2431,3056,2769,6286,849,160,4103,1352,1338,2152,1909,3254,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium
Alistipes,2869,2498,381,2007,670,150,3251,2772,3000,2373,1446,2731,1411,1408,1040,774,741,1396,495,651,0,4,89,20,0,101,7419,1830,84,1223,1071,1811,4,0,0,2,1198,0,1289,2,346,924,930,699,871,928,1633,855,0,0,0,6,0,34,17,0,0,1340,790,50,24,1384,839,571,759,603,2274,5988,3963,11840,3890,4031,4147,357,1829,645,1885,1712,3740,2038,974,1737,11,521,968,877,1115,186,250,283,76,75,91,160,141,80,1672,2367,803,2377,522,4229,6435,667,1946,1444,0,1034,0,645,1997,568,119,256,1199,2163,95,81,48,21,24,0,3,89,0,11,212,1253,1098,2866,1777,2627,1575,443,1790,1546,1980,3610,988,587,550,1015,468,1335,2033,915,923,1233,2178,923,183,645,905,711,1524,959,0,1932,1855,5867,6499,2597,4153,641,4698,2977,5768,273,2926,1384,7874,2156,2633,858,6150,1130,808,141,636,1096,708,1748,441,1851,1523,922,304,839,441,2585,810,4920,2393,2610,574,122,722,1867,3418,3459,1064,651,3468,1757,1567,1121,1050,2332,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
Subdoligranulum,2031,1890,852,1225,1394,278,924,1044,730,383,51,57,707,697,635,725,544,1198,737,579,0,0,0,10,0,0,180,113,0,103,196,321,0,0,0,0,1885,1378,1274,328,184,1230,1475,272,1076,703,1858,554,428,267,400,567,276,217,279,158,137,597,255,272,160,333,337,290,237,205,424,233,113,559,222,77,7275,5,2463,1357,2506,1825,116,3553,648,2703,0,34,40,75,181,253,773,1083,339,435,504,468,669,544,282,402,182,915,170,1963,3024,343,439,324,207,994,0,509,2225,340,56,2594,956,1149,190,913,403,318,226,117,0,891,2716,435,3035,1106,1380,3752,1983,4787,2261,93,295,232,406,4775,4453,1115,258,604,185,1863,1484,2114,1904,182,782,524,84,375,9,30,23,1054,0,295,197,2750,1729,531,4609,29,892,2020,3266,53,493,1194,801,225,269,729,10607,1221,418,909,2489,1268,1054,3425,1595,2502,1110,449,756,1021,794,775,503,374,317,1423,390,209,537,338,947,2143,380,303,1882,89,198,209,316,2022,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum
Agathobacter,1443,1372,2689,1914,226,52,558,521,426,241,75,134,722,510,417,541,643,1664,1249,874,192,56,165,1191,81,286,22,24,4430,34,228,234,3,0,5,0,281,851,847,663,169,3503,275,140,246,232,187,278,990,535,272,1007,1114,537,284,485,348,1573,809,376,507,403,137,263,206,195,147,174,75,388,66,77,2092,0,798,400,501,2850,3235,1316,527,2641,598,23,1095,2503,201,707,685,1191,1377,634,1470,1906,915,384,614,80,372,986,188,2318,8903,1379,3127,646,317,157,0,186,941,96,24,9304,279,87,254,1744,697,62,74,29,0,1507,572,14,777,485,175,1588,801,604,650,222,1693,529,1111,2351,601,218,86,92,55,408,148,573,1379,179,451,521,163,559,75,190,205,3612,0,87,92,963,876,119,514,22,372,584,929,18,3020,364,5011,1471,2789,30,4920,289,72,1565,7290,2177,3514,2805,3126,2935,445,365,1473,1162,1401,493,428,174,205,1466,1334,648,756,301,508,469,93,71,374,256,187,259,812,1361,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter
Prevotella_9,15,59,313,0,0,0,0,0,0,0,0,4,9188,1364,10117,12837,3789,13126,3388,3593,0,0,5,4,0,0,6,0,0,0,238,57,0,0,0,0,2299,0,0,0,0,0,579,222,1716,73,467,255,0,0,0,0,0,2759,4587,0,0,16,31,1089,4587,18,5,4,0,0,92,0,6,0,0,4,7538,0,9816,1339,0,0,0,0,0,0,0,5,0,0,771,1041,14,11,22406,4731,453,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,56,265,3,0,1396,3,0,0,5047,1418,225,1882,0,0,1394,5,113,1829,0,0,4,0,0,0,0,0,0,0,20837,2042,535,0,0,0,0,0,1324,3913,14,1071,379,26,138,143,12,62,147,0,0,0,0,0,0,0,0,0,12,26,5,0,149,0,0,0,0,0,0,0,221,0,0,0,0,6,583,0,3,2156,0,0,98,0,5,0,0,0,85,242,26,1714,0,0,183,0,0,8,0,0,0,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9
Christensenellaceae R-7 group,2127,1352,113,1130,56,12,25,34,300,1026,162,517,77,86,54,57,33,83,66,37,0,0,3,5,0,0,42,29,0,5,86,44,0,0,0,0,615,0,1174,0,225,924,649,311,520,378,1480,442,0,0,0,0,0,194,658,0,0,22,328,165,88,4,5,3,3,109,372,41,30,154,27,34,11085,0,3935,4359,2411,889,508,1771,731,3237,0,248,132,177,232,143,17,27,549,799,174,143,19,6,107,104,100,535,59,1886,2172,213,473,94,0,7,0,27,115,11,4,204,18,19,0,284,46,18,148,0,0,276,0,10,145,1910,1309,2783,1508,5725,3034,13,183,53,91,8619,6030,2041,233,594,144,942,663,2961,2908,800,63,47,1,36,0,0,0,90,0,21,32,309,299,99,2255,9,195,897,2262,10,235,972,536,173,662,771,7865,471,162,14,148,25,30,166,164,302,90,41,107,1046,731,1123,917,2783,2659,2050,217,132,370,1589,79,7560,1558,258,4769,964,667,1951,2260,1526,Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group
UCG-002,182,182,147,312,1545,284,1005,947,1128,616,63,89,1061,535,797,542,353,746,458,403,0,0,0,0,0,0,31,18,0,20,420,530,0,0,0,0,2190,0,1227,0,132,226,2781,1038,1737,2230,1731,1764,0,0,0,0,0,885,1283,0,0,61,115,1058,291,0,0,6,0,392,251,170,240,910,382,224,5531,33,1493,1015,1105,229,290,1089,932,914,0,175,96,148,261,370,12,13,2540,3229,594,36,36,26,382,366,238,1497,330,3636,2391,207,587,597,0,7,0,46,316,0,0,833,0,0,12,1797,302,50,410,0,0,1839,0,10,397,266,187,593,340,1846,619,133,621,691,689,3236,2220,752,220,669,234,684,721,1237,1306,664,460,195,0,24,0,14,0,165,0,1149,1047,1704,2197,2278,1372,208,2669,545,1071,106,923,395,794,589,807,1476,2365,417,246,76,406,398,151,453,153,828,48,20,585,71,390,346,212,1262,480,476,140,127,251,1044,684,3104,693,698,2344,146,334,436,452,739,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002
Roseburia,163,259,284,238,836,114,1082,2649,1110,805,40,76,145,151,65,88,95,138,157,77,3493,404,576,1195,368,952,32,14,24363,5,171,193,0,0,0,7,118,988,688,31,93,1063,48,65,94,35,66,50,146,60,294,195,466,248,72,57,126,225,302,161,171,361,77,187,88,47,69,70,40,109,114,238,359,15,147,69,189,730,94,650,218,643,10645,0,17,31,67,480,176,240,301,165,253,274,135,119,833,286,138,83,11,458,1853,194,287,51,0,33,0,78,301,8,0,338,40,0,45,1579,328,667,118,11,0,552,154,192,5454,291,103,382,257,430,342,70,857,14,454,98,35,33,93,301,113,274,117,56,129,247,122,155,16,57,32,37,56,174,0,64,77,2003,1846,1654,176,19,290,187,203,47,1768,77,1605,726,1803,30,2089,448,115,134,31,79,21,122,482,1159,65,9,243,214,473,216,373,1245,860,460,343,369,2540,526,94,696,317,11,1267,147,108,924,156,549,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia
Parabacteroides,215,511,147,253,495,101,1223,1397,1009,567,472,785,147,298,202,78,132,163,179,122,0,0,0,0,0,0,1915,291,0,178,361,611,3,0,0,0,1183,0,695,0,178,506,798,552,790,745,1104,661,0,0,0,0,0,321,772,0,0,380,319,361,156,611,298,417,306,160,81,197,313,747,90,519,1359,11,599,386,761,841,1979,502,319,1270,0,1073,492,804,387,251,59,96,747,1609,193,49,77,36,574,457,362,647,102,1140,2043,189,831,445,0,55,0,12,49,21,0,178,11,12,104,614,934,115,341,0,0,663,119,333,768,45,16,84,28,57,31,272,1497,928,1270,1424,713,213,57,104,59,80,212,318,541,189,277,199,47,213,469,243,414,476,0,313,320,2264,1297,418,162,221,2054,76,149,359,2753,123,9714,2243,2501,302,603,82,88,247,0,0,62,5,3,94,254,201,218,812,368,775,429,621,772,1441,270,76,656,223,453,304,88,315,221,511,310,101,87,905,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
