Genus-Level Features,Frequency,Percentage Cover
Butyricimonas,259,80-100%
Phascolarctobacterium,256,80-100%
Parasutterella,246,80-100%
Coprobacter,229,60-80%
NK4A214 group,216,60-80%
Desulfovibrio,214,60-80%
Faecalibacterium,206,60-80%
Alistipes,178,60-80%
Collinsella,154,50-60%
[Eubacterium] eligens group,152,50-60%
Bifidobacterium,152,50-60%
Lachnospiraceae ND3007 group,148,50-60%
Veillonella,148,50-60%
Unknown,147,50-60%
Oscillibacter,144,50-60%
Lachnospiraceae FCS020 group,141,40-50%
Oxalobacter,138,40-50%
Allisonella,136,40-50%
Subdoligranulum,121,40-50%
Lachnospiraceae UCG-004,109,30-40%
Peptoniphilus,96,30-40%
Dielma,88,30-40%
Acidaminococcus,85,<30%
Gordonibacter,80,<30%
Prevotellaceae NK3B31 group,79,<30%
Peptococcus,78,<30%
Libanicoccus,77,<30%
TM7x,77,<30%
Romboutsia,71,<30%
UCG-003,70,<30%
Lachnospiraceae NK4A136 group,68,<30%
Erysipelotrichaceae UCG-003,58,<30%
Anaeroplasma,54,<30%
Alloprevotella,21,<30%
Mailhella,19,<30%
[Eubacterium] ruminantium group,14,<30%
Pseudoflavonifractor,13,<30%
Blautia,4,<30%
Erysipelatoclostridium,2,<30%
