taxa,SRR7611279,SRR7611280,SRR7611281,SRR7611282,SRR7611283,SRR7611284,SRR7611285,SRR7611286,SRR7611287,SRR7611288,SRR7611289,SRR7611290,SRR7611291,SRR7611292,SRR7611293,SRR7611294,SRR7611295,SRR7611296,SRR7611297,SRR7611298,SRR7611299,SRR7611300,SRR7611301,SRR7611302,SRR7611303,SRR7611304,SRR7611305,SRR7611306,SRR7611307,SRR7611308,SRR7611309,SRR7611310,SRR7611311,SRR7611312,SRR7611313,SRR7611314,SRR7611315,SRR7611316,SRR7611317,SRR7611318,SRR7611319,SRR7611320,SRR7611321,SRR7611322,SRR7611323,SRR7611324,SRR7611325,SRR7611326,SRR7611327,SRR7611328,SRR7611329,SRR7611330,SRR7611331,SRR7611332,SRR7611333,SRR7611334,SRR7611335,SRR7611336,SRR7611337,SRR7611338,SRR7611339,SRR7611340,SRR7611341,SRR7611342,SRR7611343,SRR7611344,SRR7611345,SRR7611346,SRR7611347,SRR7611348,SRR7611349,SRR7611350,SRR7611351,SRR7611352,SRR7611353,SRR7611354,SRR7611355,SRR7611356,SRR7611357,SRR7611358,SRR7611359,SRR7611360,SRR7611361,SRR7611362,SRR7611363,SRR7611364,SRR7611365,SRR7611366,SRR7611367,SRR7611368,SRR7611369,SRR7611370,SRR7611371,SRR7611372,SRR7611373,SRR7611374,SRR7611375,SRR7611376,SRR7611377,SRR7611378,SRR7611379,SRR7611380,SRR7611381,SRR7611382,SRR7611383,SRR7611384,SRR7611385,SRR7611386,SRR7611387,SRR7611388,SRR7611389,SRR7611390,SRR7611391,SRR7611392,SRR7611393,SRR7611394,SRR7611395,SRR7611396,SRR7611397,SRR7611398,SRR7611399,SRR7611400,SRR7611401,SRR7611402,SRR7611403,SRR7611404,SRR7611405,SRR7611406,SRR7611407,SRR7611408,SRR7611409,SRR7611410,SRR7611411,SRR7611412,SRR7611413,SRR7611414,SRR7611415,SRR7611416,SRR7611417,SRR7611418,SRR7611419,SRR7611420,SRR7611421,SRR7611422,SRR7611423,SRR7611424,SRR7611425,SRR7611426,SRR7611427,SRR7611428,SRR7611429,SRR7611430,SRR7611431,SRR7611432,SRR7611433,SRR7611434,SRR7611435,SRR7611436,SRR7611437,SRR7611438,SRR7611439,SRR7611440,SRR7611441,SRR7611442,SRR7611443,SRR7611444,SRR7611445,SRR7611446,SRR7611447,SRR7611448,SRR7611449,SRR7611450,SRR7611451,SRR7611452,SRR7611453,SRR7611454,SRR7611455,SRR7611456,SRR7611457,SRR7611458,SRR7611459,SRR7611460,SRR7611461,SRR7611462,SRR7611463,SRR7611464,SRR7611465,SRR7611466,SRR7611467,SRR7611468,SRR7611469,SRR7611470,SRR7611471,SRR7611472,SRR7611473,SRR7611474,SRR7611475,SRR7611476,SRR7611477,SRR7611478,SRR7611479,SRR7611480,SRR7611481,SRR7611482,SRR7611483,SRR7611484,SRR7611485,SRR7611486
Seq_0000001# Bacteroides vulgatus,4358,3070,3233,3025,5166,1383,6622,6342,5209,2149,2994,7337,954,2173,1017,589,1660,1570,1547,1358,5301,157,7316,12877,1779,6333,704,138,5939,564,1955,3710,11,13,16,14,2251,40529,2097,18065,660,2936,777,1184,1780,1740,4137,629,12719,12891,13055,5896,11065,645,559,7584,7942,6747,1954,763,741,4660,1775,2542,2957,0,250,304,163,521,159,279,2942,62,1044,793,1452,3446,0,1595,2043,3117,11696,32,0,0,2682,1904,4214,7675,387,1276,6814,6605,10645,3178,4558,4955,0,0,0,0,0,0,0,0,7283,3529,7,2134,5548,3010,344,2359,7470,12375,5950,5425,11877,1980,1610,261,10,5147,2617,4569,12026,0,0,0,0,0,0,1930,9089,4739,7409,2810,1447,179,0,0,0,0,0,460,751,3854,1974,2477,649,1847,4288,4264,4958,6781,11,2984,2161,14866,12142,2234,0,546,4321,0,0,1730,7940,166,34746,7782,12887,0,0,0,0,6112,5313,9398,13683,11134,2919,7363,4489,3725,1797,2908,1911,5080,2493,0,73,6010,3183,1853,710,6420,2027,8468,4143,1206,10172,6249,4895,5109,3926,3418
Seq_0000002# Bacteroides uniformis,580,463,189,640,0,0,0,0,0,0,3012,6435,262,1824,543,237,593,193,333,399,83,0,196,531,32,204,2096,632,470,407,55,0,0,0,0,0,1097,0,208,0,121,325,533,476,978,1251,1656,564,0,0,0,0,10,253,495,0,0,1788,464,476,229,1356,646,1048,1069,659,610,1374,731,2251,660,773,2287,107,605,509,115,223,864,172,43,192,171,253,416,370,764,296,1424,3309,551,860,1257,609,3810,1458,4334,4309,2576,2828,569,4485,5556,836,3453,1510,0,1635,0,768,2885,2839,318,642,5977,3249,235,454,156,42,263,0,0,1110,11,22,377,173,145,146,120,198,133,289,1122,636,1056,665,325,196,0,0,0,0,0,420,379,3665,1676,1763,563,1810,2637,2251,5624,903,0,3150,2032,14409,12655,2883,983,386,3085,443,680,132,1280,221,2566,1119,2514,13,0,0,0,391,1989,2870,2393,3829,659,3114,2367,487,321,1198,434,1645,996,0,0,1934,808,337,158,5639,1996,10580,3501,518,13270,4778,4674,5552,1911,593
Seq_0000003# Bacteroides dorei,198,346,123,275,0,0,0,0,355,1457,0,0,0,196,0,0,147,0,381,173,1089,28,2157,1775,458,1821,0,0,1218,0,256,83,0,0,0,0,0,0,244,0,101,466,0,0,0,0,0,0,0,0,0,0,0,156,168,0,0,369,682,78,163,0,0,0,360,1326,96,0,0,0,0,0,4688,0,2575,1278,128,421,1546,200,284,290,2565,376,441,804,234,829,0,0,155,338,184,229,0,0,3669,5123,2281,4026,979,8213,3852,1019,2662,1592,0,768,0,373,1058,791,89,741,1930,2626,1129,2253,6270,1276,962,59,0,1246,848,3870,7457,705,636,1149,1051,2815,1714,0,0,0,0,5159,1761,470,922,3408,1830,3864,6710,1132,2426,0,172,237,0,46,0,0,0,334,0,2373,2906,10504,9442,6528,1831,1577,12249,734,1559,144,0,464,0,0,0,733,20658,1855,2338,2253,925,2354,2170,2023,229,1468,699,139,595,193,154,488,243,2762,4218,777,269,455,3056,0,50,0,0,0,0,0,0,0,0,398
Seq_0000004# Faecalibacterium prausnitzii,657,829,913,760,732,120,350,436,482,694,613,619,984,973,664,646,962,1330,1328,870,1465,95,279,598,931,228,24,43,2675,10,414,438,0,3,3,0,1548,5051,735,2641,88,914,425,717,876,548,578,232,2554,1786,1551,3162,1948,599,807,1450,1022,678,1088,609,262,1817,688,1511,1495,52,94,63,62,264,73,120,972,13,844,496,427,801,1236,1154,318,926,3774,105,243,697,233,481,197,178,841,1105,358,81,190,95,471,384,201,292,89,501,1372,236,540,305,895,128,0,159,565,87,20,5067,153,175,573,2943,1002,665,422,326,6,1703,7276,818,5260,654,311,710,233,2244,1121,284,1458,602,1331,804,297,161,97,413,162,389,421,467,551,923,967,769,347,1016,517,1620,2756,1440,0,247,168,1914,1271,750,515,85,1107,337,457,370,1729,212,4188,1087,1042,97,2099,377,162,1880,2442,1811,1399,1602,3457,1969,337,210,1884,928,1533,433,615,675,1580,3250,828,437,1455,938,2142,954,144,103,476,537,695,363,423,683
Seq_0000005# Agathobacter,1176,1041,1726,1568,226,50,552,520,415,214,56,99,671,461,385,486,612,1625,1192,817,190,56,165,1191,80,285,22,24,4360,34,216,231,3,0,5,0,281,851,749,663,152,3076,275,140,246,232,187,278,990,535,272,1007,1114,468,284,485,348,816,572,350,443,392,118,215,201,195,147,174,75,388,66,77,1669,0,631,316,459,2542,3235,1214,525,2436,585,23,1095,2503,176,610,568,1038,1053,607,1054,1217,607,260,470,48,369,984,188,2318,8759,1375,3121,641,317,146,0,186,941,63,24,8747,168,87,210,1744,580,59,68,29,0,1317,566,0,759,485,175,1588,801,604,650,59,711,283,401,1896,466,190,60,92,32,312,148,457,1117,179,451,521,163,527,49,172,156,3392,0,69,92,847,774,45,514,0,360,584,929,0,2126,364,3483,1152,1930,30,4920,163,51,1237,6816,2113,3317,2805,3126,2935,427,365,1381,841,1176,410,311,174,205,1025,1004,562,756,301,459,469,93,71,374,199,187,259,682,1152
Seq_0000006# Alistipes putredinis,1904,1625,246,1293,463,104,2107,1735,1818,1278,778,1297,959,955,706,550,455,948,304,448,0,0,0,0,0,0,1952,528,0,527,644,1164,4,0,0,2,841,0,733,2,204,562,747,504,580,486,1140,660,0,0,0,6,0,0,4,0,0,1105,520,10,7,1235,670,473,528,240,639,1978,1205,3426,1171,1189,991,83,907,203,1052,1151,1464,1087,551,1040,0,102,379,313,550,77,139,166,36,13,34,77,83,41,1178,1414,372,895,174,1731,3841,357,1340,705,0,367,0,256,863,297,46,21,640,958,0,11,0,13,6,0,3,10,0,11,144,804,526,1591,977,2135,1284,438,1745,1516,1952,1178,228,132,324,619,314,950,1544,232,350,706,1436,573,117,396,690,528,923,528,0,793,763,3901,3725,1526,1684,335,2423,950,1851,247,2842,521,7798,2117,2569,509,4845,813,642,0,6,0,7,419,33,675,618,393,158,376,237,1213,340,2064,1133,1249,254,37,340,1126,2380,1842,534,401,2019,949,965,640,636,1355
Seq_0000007# Christensenellaceae R-7 group,1576,975,81,902,0,0,0,0,264,941,162,497,0,0,0,0,0,0,31,0,0,0,3,5,0,0,4,0,0,0,76,21,0,0,0,0,520,0,975,0,154,431,507,277,426,233,1345,368,0,0,0,0,0,141,607,0,0,4,284,113,60,0,0,0,0,58,332,3,0,0,0,0,10454,0,3577,4140,1836,400,0,1485,695,2214,0,5,3,0,0,118,0,0,449,688,126,110,0,0,0,0,12,206,32,900,666,92,151,35,0,0,0,0,0,0,0,77,0,5,0,214,32,13,129,0,0,181,0,10,90,1819,1278,2610,1393,5266,2847,13,183,48,91,8118,5700,1980,220,414,121,820,513,2748,2744,757,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1955,0,0,821,2056,6,235,917,536,173,658,635,7345,414,138,0,0,0,4,0,0,0,0,8,67,0,0,124,0,2635,2399,0,0,96,296,1481,0,7221,1488,224,4588,925,645,1815,2216,953
Seq_0000008# Subdoligranulum,1619,1752,806,1063,351,64,351,483,320,141,33,50,570,484,541,598,396,819,414,377,0,0,0,10,0,0,38,52,0,53,59,109,0,0,0,0,1436,1378,316,328,105,371,782,160,831,424,1356,295,428,267,400,567,276,135,156,158,137,441,160,169,110,195,155,215,173,11,331,45,39,195,122,53,6507,0,2161,949,1584,568,116,855,214,1353,0,30,40,75,130,135,619,877,251,274,370,346,564,457,227,277,9,32,8,61,107,47,83,18,207,869,0,442,1915,311,46,1155,874,1055,162,687,320,313,194,117,0,686,2711,435,2999,810,1081,2362,1223,3619,1825,0,0,0,0,4356,3987,1011,102,277,75,861,723,1801,1749,116,548,375,54,257,9,17,22,545,0,196,168,1842,1142,331,2941,29,520,1155,1885,0,0,803,0,0,0,152,5147,553,187,574,1353,684,723,2417,969,1816,899,381,368,638,431,589,298,28,50,809,243,161,97,207,675,1679,305,204,1362,65,156,148,175,1364
Seq_0000009# Bacteroides thetaiotaomicron,665,317,86,269,101,0,542,417,556,282,988,1958,112,572,199,108,335,35,292,213,40,0,238,329,19,224,641,147,749,99,222,387,0,0,0,0,170,12848,109,3951,62,426,29,103,104,113,327,28,3537,3843,4080,645,2562,96,111,1781,1750,450,67,101,80,176,128,38,90,88,192,418,325,960,219,397,1285,48,588,381,232,438,733,109,52,478,127,377,29,64,176,115,24,12,88,170,101,6,16,0,228,366,126,307,66,605,192,36,130,36,1229,31,11,69,191,0,0,262,109,19,898,580,3405,345,637,22,0,634,207,2592,2234,111,124,82,115,128,91,124,546,451,618,510,310,116,180,501,202,199,526,226,227,366,553,613,158,585,1847,2088,2408,811,0,400,433,1111,2106,488,289,118,885,215,384,52,704,132,2782,922,1748,32,1413,306,149,1171,408,699,1321,455,163,889,244,169,240,104,54,417,219,112,255,410,61,55,218,491,852,516,181,68,508,1266,823,716,313,406
Seq_0000010# Bacteroides stercoris,563,745,341,1100,184,37,434,481,524,597,58,47,101,1003,94,38,363,97,233,227,0,0,0,0,0,0,0,0,0,0,227,287,0,0,0,0,155,0,0,0,0,0,52,14,103,79,99,54,0,0,0,5,0,23,0,0,0,4732,5423,67,15,5310,6814,2941,4912,239,8,0,0,0,0,0,188,0,108,66,0,0,0,0,0,0,0,0,0,0,0,245,1276,634,82,9,131,195,429,311,3364,1094,792,1335,316,1560,1483,237,592,376,0,417,0,449,1075,89,43,381,10,169,751,169,277,75,17,0,0,30,0,42,444,0,0,0,0,0,0,0,0,0,0,502,115,44,0,0,0,0,0,39,164,75,837,915,90,326,15,198,89,2515,0,434,205,6544,3514,548,0,139,1014,0,0,15,0,12,0,0,0,0,0,0,0,1698,1934,7402,5568,5430,1408,6067,1195,688,258,0,0,58,0,970,1694,0,13,82,976,72,420,0,0,0,0,48,70,0,0,0
