RSV-Level Features,Frequency,Percentage Cover 
Seq_0000070# Phascolarctobacterium faecium,282,90%-99%
Seq_0000093# NK4A214 group,266,90%-99%
Seq_0000068# Parasutterella excrementihominis,260,90%-99%
Seq_0000001# Bacteroides vulgatus,253,80-90%
Seq_0000432# [Eubacterium] ventriosum group,245,80-90%
Seq_0000013# Faecalibacterium prausnitzii,240,80-90%
Seq_0000020# Bacteroides cellulosilyticus,235,80-90%
Seq_0000006# Alistipes putredinis,230,80-90%
Seq_0000270# Alloprevotella,210,70-80%
Seq_0000231# Clostridia UCG-014,199,60-70%
Seq_0000131# UCG-002,198,60-70%
Seq_0000004# Faecalibacterium prausnitzii,191,60-70%
Seq_0000079# [Eubacterium] eligens group eligens,191,60-70%
Seq_0000048# Dialister,190,60-70%
Seq_0000083# UCG-003,187,60-70%
Seq_0000174# [Eubacterium] coprostanoligenes group,187,60-70%
Seq_0000019# Alistipes onderdonkii,186,60-70%
Seq_0000287# Clostridia,180,60-70%
Seq_0000053# Monoglobus,177,60-70%
Seq_0000105# Lachnospiraceae ND3007 group,177,60-70%
Seq_0000086# Alistipes obesi,172,<60%
Seq_0000038# Bacteroides ovatus,171,<60%
Seq_0000165# Sutterella wadsworthensis,171,<60%
Seq_0000037# UCG-002,169,<60%
Seq_0000570# Oscillibacter,169,<60%
Seq_0000051# Coprococcus eutactus,167,<60%
Seq_0000087# Erysipelotrichaceae UCG-003 bacterium,160,<60%
Seq_0000112# Bifidobacterium breve,159,<60%
Seq_0000190# Lachnospiraceae UCG-004,158,<60%
Seq_0000250# Rhodospirillales,157,<60%
Seq_0000155# Lachnoclostridium,156,<60%
Seq_0000243# Lachnospiraceae,155,<60%
Seq_0000184# Parabacteroides gordonii,152,<60%
Seq_0000034# Bacteroides coprocola,151,<60%
Seq_0000499# Butyricimonas faecihominis,150,<60%
Seq_0000025# Dialister invisus,149,<60%
Seq_0000022# Bacteroides plebeius,148,<60%
Seq_0000555# Allisonella histaminiformans,148,<60%
Seq_0000132# Subdoligranulum,146,<60%
Seq_0000029# Subdoligranulum,145,<60%
Seq_0000434# Coprobacter,143,<60%
Seq_0000629# Firmicutes,142,<60%
Seq_0000103# [Eubacterium] siraeum group,141,<60%
Seq_0000009# Bacteroides thetaiotaomicron,137,<60%
Seq_0000032# Blautia,130,<60%
Seq_0000280# [Eubacterium] ventriosum group,130,<60%
Seq_0000745# Ruminococcaceae,130,<60%
Seq_0000088# Oscillibacter,128,<60%
Seq_0000479# Ruminococcaceae,125,<60%
Seq_0000248# Monoglobus,123,<60%
Seq_0000260# Subdoligranulum,123,<60%
Seq_0000272# Gastranaerophilales,123,<60%
Seq_0000163# Bacteroides,120,<60%
Seq_0000415# Ruminococcaceae,120,<60%
Seq_0000413# Blautia,119,<60%
Seq_0000240# Clostridia UCG-014,114,<60%
Seq_0000343# Lachnospiraceae,112,<60%
Seq_0000117# Subdoligranulum,111,<60%
Seq_0000133# Collinsella aerofaciens,110,<60%
Seq_0000632# Megasphaera massiliensis,110,<60%
Seq_0000291# Faecalibacterium,109,<60%
Seq_0000312# [Eubacterium] eligens group,109,<60%
Seq_0000069# Agathobacter faecis,107,<60%
Seq_0000238# Veillonella,106,<60%
Seq_0000979# Acidaminococcus,106,<60%
Seq_0000058# Alistipes finegoldii,105,<60%
Seq_0000986# Lachnospiraceae ND3007 group,102,<60%
Seq_0000074# Bacteroides vulgatus,101,<60%
Seq_0000439# Oscillibacter,101,<60%
Seq_0000046# Ruminococcus bicirculans,100,<60%
Seq_0000125# Lachnospira pectinoschiza,100,<60%
Seq_0000449# Butyricimonas,100,<60%
Seq_0000183# Enterobacteriaceae,99,<60%
Seq_0000040# Akkermansia muciniphila,98,<60%
Seq_0000084# [Eubacterium] ventriosum group ventriosum,98,<60%
Seq_0000094# Bacteroides vulgatus,98,<60%
Seq_0000527# Lachnoclostridium,96,<60%
Seq_0000790# Clostridia UCG-014,96,<60%
Seq_0000054# Faecalibacterium,95,<60%
Seq_0000061# Lachnospiraceae,94,<60%
Seq_0000099# Clostridia UCG-014,94,<60%
Seq_0000390# Blautia,94,<60%
Seq_0000978# Oscillospiraceae,92,<60%
Seq_0000206# Bacteroides nordii,90,<60%
Seq_0000027# Bacteroides massiliensis,89,<60%
Seq_0000444# Lachnospiraceae FCS020 group bacterium,89,<60%
Seq_0000538# Turicibacter sanguinis,88,<60%
Seq_0000383# Veillonella parvula,86,<60%
Seq_0001168# Intestinimonas,86,<60%
Seq_0000264# Coprobacter fastidiosus,82,<60%
Seq_0000810# Monoglobus,82,<60%
Seq_0000779# Ruminococcaceae,81,<60%
Seq_0001072# Lachnospiraceae,80,<60%
Seq_0001643# Clostridia,80,<60%
Seq_0002448# [Eubacterium] ventriosum group,80,<60%
Seq_0000017# Bacteroides,76,<60%
Seq_0000145# UCG-005,74,<60%
Seq_0000024# Bacteroides ovatus,73,<60%
Seq_0000274# UCG-003,73,<60%
Seq_0000152# Butyricicoccus faecihominis,72,<60%
Seq_0000794# Parabacteroides,72,<60%
Seq_0000437# CAG-56,70,<60%
Seq_0000446# Oxalobacter formigenes,68,<60%
Seq_0000589# [Clostridium] innocuum group,67,<60%
Seq_0000230# Faecalibacterium,66,<60%
grp3,65,<60%
Seq_0001425# UCG-010,65,<60%
Seq_0001618# Prevotellaceae,65,<60%
grp12,64,<60%
grp15,64,<60%
grp16,64,<60%
grp18,64,<60%
grp5,64,<60%
grp6,64,<60%
Seq_0000030# UCG-002,64,<60%
Seq_0000242# CAG-352,64,<60%
Seq_0000095# Bifidobacterium,63,<60%
Seq_0000958# UCG-005,62,<60%
Seq_0000096# Bilophila wadsworthia,61,<60%
Seq_0000735# Lachnospiraceae UCG-004,60,<60%
grp20,55,<60%
Seq_0000386# Barnesiella,55,<60%
Seq_0000438# Bacteroides,55,<60%
Seq_0000122# Lachnospiraceae,54,<60%
Seq_0000600# Streptococcus,54,<60%
Seq_0000041# Lachnospiraceae NK4A136 group,53,<60%
Seq_0001307# Erysipelatoclostridium,53,<60%
Seq_0000109# Romboutsia ilealis,52,<60%
Seq_0000463# Lachnospiraceae UCG-010,52,<60%
Seq_0001014# Lachnospiraceae,52,<60%
Seq_0000002# Bacteroides uniformis,51,<60%
Seq_0000286# RF39,51,<60%
Seq_0000689# Christensenellaceae R-7 group,51,<60%
Seq_0000057# Lachnoclostridium edouardi,50,<60%
Seq_0000170# [Ruminococcus] gauvreauii group,50,<60%
Seq_0000198# Prevotellaceae,50,<60%
Seq_0000258# UBA1819,50,<60%
Seq_0000750# Dorea,50,<60%
Seq_0000299# GCA-900066575,48,<60%
Seq_0000384# Ruminococcaceae,48,<60%
Seq_0000942# Lachnospiraceae UCG-004,48,<60%
Seq_0000055# UCG-002,47,<60%
Seq_0000259# Coprococcus,46,<60%
Seq_0000729# Colidextribacter,46,<60%
Seq_0002361# Eisenbergiella,46,<60%
Seq_0000381# Faecalibacterium prausnitzii,45,<60%
grp22,44,<60%
Seq_0000075# [Ruminococcus] torques group torques,44,<60%
Seq_0000278# Lachnospiraceae UCG-010,44,<60%
Seq_0002441# UCG-005,43,<60%
Seq_0000059# Bacteroides finegoldii,42,<60%
Seq_0000219# RF39,41,<60%
Seq_0000339# Lachnospiraceae,40,<60%
Seq_0000436# Lachnospiraceae UCG-010,40,<60%
Seq_0000454# Peptococcaceae,40,<60%
Seq_0000502# Alistipes,40,<60%
Seq_0000294# UCG-005,39,<60%
Seq_0000472# Lachnospiraceae,38,<60%
Seq_0000015# Faecalibacterium prausnitzii,37,<60%
Seq_0000543# Porphyromonas,37,<60%
Seq_0000642# Butyricimonas,37,<60%
Seq_0000138# [Eubacterium] ruminantium group,36,<60%
Seq_0000171# Bacteroides,34,<60%
Seq_0001028# Streptococcus,34,<60%
Seq_0000317# Ruminococcaceae,33,<60%
Seq_0000076# RF39,32,<60%
Seq_0000134# [Eubacterium] coprostanoligenes group,32,<60%
Seq_0000584# Coprobacter secundus,32,<60%
grp25,31,<60%
Seq_0000026# Bacteroides caccae,31,<60%
Seq_0000113# Blautia obeum,31,<60%
Seq_0000120# Bacteroidales,31,<60%
Seq_0001015# Cloacibacillus evryensis,31,<60%
Seq_0000489# Mailhella,30,<60%
Seq_0001655# Prevotellaceae,30,<60%
Seq_0000205# Alistipes,29,<60%
Seq_0000385# Sutterella,29,<60%
Seq_0000620# Lachnospira,29,<60%
Seq_0000726# Alistipes,29,<60%
Seq_0000010# Bacteroides stercoris,28,<60%
Seq_0000518# Prevotellaceae Ga6A1 group,28,<60%
grp29,27,<60%
grp30,27,<60%
Seq_0000123# Lachnoclostridium,27,<60%
Seq_0000173# Lachnospiraceae UCG-004,26,<60%
Seq_0000222# NK4A214 group,26,<60%
Seq_0000524# Alistipes,26,<60%
Seq_0000008# Subdoligranulum,24,<60%
Seq_0000031# Roseburia intestinalis,24,<60%
Seq_0001458# Anaerofilum,24,<60%
Seq_0000067# [Eubacterium] siraeum group siraeum,23,<60%
Seq_0000128# [Eubacterium] coprostanoligenes group,23,<60%
Seq_0001012# Enterobacteriaceae,23,<60%
Seq_0000256# Oscillospiraceae,22,<60%
Seq_0001709# Cloacibacillus,22,<60%
Seq_0000003# Bacteroides dorei,21,<60%
Seq_0000412# UCG-005,21,<60%
Seq_0000127# Ruminococcus,20,<60%
Seq_0000320# Intestinibacter bartlettii,19,<60%
Seq_0000115# Coprococcus comes,16,<60%
Seq_0000116# Rikenellaceae RC9 gut group,16,<60%
Seq_0000185# [Eubacterium] hallii group hallii,16,<60%
Seq_0000665# Lachnospiraceae,16,<60%
Seq_0000863# Fusicatenibacter,16,<60%
Seq_0001802# UCG-005,16,<60%
Seq_0000092# Christensenellaceae R-7 group,15,<60%
Seq_0000331# Lachnospiraceae NK4A136 group,15,<60%
Seq_0001231# Cetobacterium somerae,15,<60%
Seq_0000730# Oscillospiraceae,14,<60%
Seq_0000969# Lachnospira,13,<60%
Seq_0000342# Lachnoclostridium,12,<60%
Seq_0000855# Lachnospiraceae UCG-004,12,<60%
Seq_0001070# [Eubacterium] xylanophilum group,12,<60%
Seq_0000023# Roseburia inulinivorans,10,<60%
Seq_0000638# Incertae Sedis,10,<60%
Seq_0000893# Christensenellaceae R-7 group,8,<60%
Seq_0000288# Parabacteroides gordonii,7,<60%
Seq_0000448# Alistipes,7,<60%
Seq_0000097# [Eubacterium] xylanophilum group,6,<60%
Seq_0000049# Bacteroides ovatus,5,<60%
Seq_0000254# Lachnospiraceae,5,<60%
Seq_0000962# Alistipes,5,<60%
Seq_0000976# Bifidobacterium animalis,5,<60%
Seq_0000261# Lachnospiraceae,4,<60%
Seq_0000677# Coprobacter,2,<60%
