taxa,SRR7611279,SRR7611280,SRR7611281,SRR7611282,SRR7611283,SRR7611284,SRR7611285,SRR7611286,SRR7611287,SRR7611288,SRR7611289,SRR7611290,SRR7611291,SRR7611292,SRR7611293,SRR7611294,SRR7611295,SRR7611296,SRR7611297,SRR7611298,SRR7611299,SRR7611300,SRR7611301,SRR7611302,SRR7611303,SRR7611304,SRR7611305,SRR7611306,SRR7611307,SRR7611308,SRR7611309,SRR7611310,SRR7611311,SRR7611312,SRR7611313,SRR7611314,SRR7611315,SRR7611316,SRR7611317,SRR7611318,SRR7611319,SRR7611320,SRR7611321,SRR7611322,SRR7611323,SRR7611324,SRR7611325,SRR7611326,SRR7611327,SRR7611328,SRR7611329,SRR7611330,SRR7611331,SRR7611332,SRR7611333,SRR7611334,SRR7611335,SRR7611336,SRR7611337,SRR7611338,SRR7611339,SRR7611340,SRR7611341,SRR7611342,SRR7611343,SRR7611344,SRR7611345,SRR7611346,SRR7611347,SRR7611348,SRR7611349,SRR7611350,SRR7611351,SRR7611352,SRR7611353,SRR7611354,SRR7611355,SRR7611356,SRR7611357,SRR7611358,SRR7611359,SRR7611360,SRR7611361,SRR7611362,SRR7611363,SRR7611364,SRR7611365,SRR7611366,SRR7611367,SRR7611368,SRR7611369,SRR7611370,SRR7611371,SRR7611372,SRR7611373,SRR7611374,SRR7611375,SRR7611376,SRR7611377,SRR7611378,SRR7611379,SRR7611380,SRR7611381,SRR7611382,SRR7611383,SRR7611384,SRR7611385,SRR7611386,SRR7611387,SRR7611388,SRR7611389,SRR7611390,SRR7611391,SRR7611392,SRR7611393,SRR7611394,SRR7611395,SRR7611396,SRR7611397,SRR7611398,SRR7611399,SRR7611400,SRR7611401,SRR7611402,SRR7611403,SRR7611404,SRR7611405,SRR7611406,SRR7611407,SRR7611408,SRR7611409,SRR7611410,SRR7611411,SRR7611412,SRR7611413,SRR7611414,SRR7611415,SRR7611416,SRR7611417,SRR7611418,SRR7611419,SRR7611420,SRR7611421,SRR7611422,SRR7611423,SRR7611424,SRR7611425,SRR7611426,SRR7611427,SRR7611428,SRR7611429,SRR7611430,SRR7611431,SRR7611432,SRR7611433,SRR7611434,SRR7611435,SRR7611436,SRR7611437,SRR7611438,SRR7611439,SRR7611440,SRR7611441,SRR7611442,SRR7611443,SRR7611444,SRR7611445,SRR7611446,SRR7611447,SRR7611448,SRR7611449,SRR7611450,SRR7611451,SRR7611452,SRR7611453,SRR7611454,SRR7611455,SRR7611456,SRR7611457,SRR7611458,SRR7611459,SRR7611460,SRR7611461,SRR7611462,SRR7611463,SRR7611464,SRR7611465,SRR7611466,SRR7611467,SRR7611468,SRR7611469,SRR7611470,SRR7611471,SRR7611472,SRR7611473,SRR7611474,SRR7611475,SRR7611476,SRR7611477,SRR7611478,SRR7611479,SRR7611480,SRR7611481,SRR7611482,SRR7611483,SRR7611484,SRR7611485,SRR7611486,taxonomy
Bacteroides vulgatus,4358,3070,3233,3025,5166,1383,6622,6342,5209,2149,3565,8741,993,2322,1059,589,1722,1570,1547,1392,5301,157,7316,12877,1779,6333,704,138,5939,564,1955,3710,11,13,16,14,2251,40529,2097,18065,660,2936,777,1184,1780,1740,4137,629,12719,12891,13055,5896,11065,645,559,7584,7942,6747,1954,763,741,4660,1775,2542,2957,0,250,304,163,521,159,279,2942,62,1044,793,1452,3446,0,1595,2043,3117,11696,32,0,0,2793,1904,4214,7675,387,1276,6814,6605,10645,3178,4558,4955,0,0,0,0,0,0,0,0,7283,3529,7,2134,5548,3010,344,2359,7470,12375,5950,5425,11877,1980,1610,261,10,5147,2617,4569,12026,0,0,0,0,0,0,1930,9089,4739,7409,2810,1447,179,0,0,0,0,0,460,751,5171,2110,2640,697,2006,4787,4758,5492,6781,11,2984,2161,14866,12142,2234,0,546,4321,0,0,1730,7940,166,34746,7782,12887,0,0,0,0,6112,5313,9398,13683,11134,2919,7444,4489,3725,1797,3031,2008,5303,2554,0,73,6375,3268,1853,710,8476,2184,12029,5785,1206,14262,7874,6227,6774,4850,3418,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus
Faecalibacterium prausnitzii,974,1591,1238,1101,1581,316,1144,1302,1509,1467,703,891,1720,1374,1020,914,1288,2044,1961,1208,2034,135,448,628,1129,329,47,43,2793,22,734,970,0,3,3,4,1927,6566,3863,3024,390,3274,621,945,1097,705,853,286,2915,2065,1974,3449,2261,1046,1621,1571,1113,2227,2045,1155,573,2520,1068,2304,1941,275,156,133,98,365,112,174,3135,13,1808,1566,2442,2651,1348,4596,1648,4400,5106,105,255,756,607,901,1156,1172,1981,2158,2140,2649,1370,601,1883,1330,507,990,286,1970,5105,901,2097,1012,973,221,0,283,1057,222,50,7695,646,549,855,3949,1524,1041,768,361,6,3090,8307,1363,8347,1014,474,1024,423,3214,1728,550,4452,1148,2615,1543,544,308,287,1058,401,939,1245,965,1154,1865,1288,1046,433,1261,517,1656,2768,2026,0,635,556,6024,4249,3416,814,194,2564,508,706,865,4147,347,8906,2167,2752,311,8592,1178,455,2565,3731,3128,2597,2676,5531,3321,616,253,2756,2352,4965,1467,1753,1353,2681,6532,2054,1233,2163,2457,2743,5537,758,155,3384,1130,1169,1807,1625,3254,Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
Bacteroides uniformis,685,532,189,640,319,74,1423,1245,1586,935,3012,6435,262,2112,543,237,909,193,543,617,653,26,1369,3214,244,1316,2784,869,2926,575,613,1117,0,0,0,0,1489,0,389,0,199,770,655,710,1289,1417,1823,713,0,0,0,0,10,253,495,0,0,1894,464,476,229,1356,646,1048,1069,659,809,1887,949,3002,899,1074,2503,153,605,547,254,600,1137,281,100,427,1542,345,541,506,1447,337,1424,3309,551,860,1257,609,3810,1458,4465,4407,2693,2828,569,4485,5705,836,3526,1510,0,1684,0,884,3232,2839,318,1155,5977,3249,462,545,224,42,263,0,0,1110,11,22,427,232,184,205,167,241,164,1166,4580,2352,4791,665,325,196,0,0,0,0,13,420,379,3665,1908,2044,597,1920,2637,2324,5722,4406,0,3150,2095,14580,12760,2883,1299,386,3085,547,920,290,5155,297,8196,3367,6706,13,0,0,0,728,3834,5573,4812,5700,1182,4836,3479,1797,491,2044,859,3149,1770,118,190,3847,1079,337,257,5639,2083,10580,3501,558,13270,4778,4674,5552,1911,1183,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
Bacteroides dorei,198,346,123,275,0,0,0,0,355,1457,0,0,0,196,0,0,147,0,381,173,1089,28,2157,1775,458,1821,0,0,1218,0,256,83,0,0,0,0,0,0,244,0,101,466,0,0,0,0,0,0,0,0,0,0,0,156,168,0,0,369,682,78,163,0,0,0,360,1326,96,0,0,0,0,0,4688,0,2575,1278,128,421,1546,200,284,290,2565,376,441,804,234,829,0,0,155,338,184,229,0,0,3669,5123,2281,4026,979,8213,3852,1019,2662,1592,0,768,0,373,1058,791,89,741,1930,2626,1129,2253,6270,1276,962,59,0,1246,848,3870,7457,705,636,1149,1051,2815,1714,0,0,0,0,5159,1761,470,922,3408,1830,3864,6710,1132,2426,0,172,237,0,46,0,0,0,334,0,2373,2906,10504,9442,6528,1831,1577,12249,734,1559,144,0,464,0,0,0,733,20658,1855,2338,2253,925,2354,2170,2023,229,1468,699,139,595,193,154,488,243,2762,4218,777,269,455,3056,0,50,0,0,0,0,0,0,0,0,398,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei
Bacteroides plebeius,0,0,0,0,0,0,0,0,0,0,0,0,1062,321,582,561,219,537,194,164,0,0,0,0,0,0,617,265,0,689,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,573,881,327,1252,605,891,0,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6491,4179,2025,3713,593,7455,22709,6291,11895,3331,0,3,0,5,60,0,0,26,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,17,0,0,0,0,10,0,0,5,274,60,5,8,6,0,0,6,0,2483,2325,18794,30678,5524,0,2330,22241,0,0,117,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,109,0,0,63,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,3,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius
Alistipes putredinis,1904,1625,246,1293,463,104,2107,1735,1818,1278,778,1297,959,955,706,550,455,948,304,448,0,0,0,0,0,0,1952,528,0,527,644,1164,4,0,0,2,841,0,733,2,204,562,747,504,580,486,1140,660,0,0,0,6,0,0,4,0,0,1105,520,10,7,1235,670,473,528,240,639,1978,1205,3426,1171,1189,991,83,907,203,1052,1151,1464,1087,551,1040,0,102,379,313,550,77,139,166,36,13,34,77,83,41,1178,1414,372,895,174,1731,3841,357,1340,705,0,367,0,256,863,297,46,21,640,958,0,11,0,13,6,0,3,10,0,11,144,804,526,1591,977,2135,1284,438,1745,1516,1952,1178,228,132,324,619,314,950,1544,232,350,706,1436,573,117,396,690,528,923,528,0,793,763,3901,3725,1526,1684,335,2423,950,1851,247,2842,521,7798,2117,2569,509,4845,813,642,0,6,0,7,419,33,675,618,393,158,376,237,1213,340,2064,1133,1249,254,37,340,1126,2380,1842,534,401,2019,949,965,640,636,1355,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis
Bacteroides thetaiotaomicron,665,317,86,269,101,0,542,417,556,282,988,1958,112,572,199,108,335,35,292,213,40,0,238,329,19,224,641,147,749,99,222,387,0,0,0,0,170,12848,109,3951,62,426,29,103,104,113,327,28,3537,3843,4080,645,2562,96,111,1781,1750,450,67,101,80,176,128,38,90,88,192,418,325,960,219,397,1285,48,588,381,232,438,733,109,52,478,127,377,29,64,176,115,24,12,88,170,101,6,16,0,228,366,126,307,66,605,192,36,130,36,1229,31,11,69,191,0,0,262,109,19,898,580,3405,345,637,22,0,634,207,2592,2234,111,124,82,115,128,91,124,546,451,618,510,310,116,180,501,202,199,526,226,227,366,553,613,158,585,1847,2088,2408,811,0,400,433,1111,2106,488,289,118,885,215,384,52,704,132,2782,922,1748,32,1413,306,149,1171,408,699,1321,455,163,889,244,169,240,104,54,417,219,112,255,410,61,55,218,491,852,516,181,68,508,1266,823,716,313,406,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
Bacteroides stercoris,563,745,341,1100,184,37,434,481,524,597,58,47,101,1003,94,38,363,97,233,227,0,0,0,0,0,0,0,0,0,0,227,287,0,0,0,0,155,0,0,0,0,0,52,14,103,79,99,54,0,0,0,5,0,23,0,0,0,4732,5423,67,15,5310,6814,2941,4912,239,8,0,0,0,0,0,188,0,108,66,0,0,0,0,0,0,0,0,0,0,0,245,1276,634,82,9,131,195,429,311,3364,1094,792,1335,316,1560,1483,237,592,376,0,417,0,449,1075,89,43,381,10,169,751,169,277,75,17,0,0,30,0,42,444,0,0,0,0,0,0,0,0,0,0,502,115,44,0,0,0,0,0,39,164,75,837,915,90,326,15,198,89,2515,0,434,205,6544,3514,548,0,139,1014,0,0,15,0,12,0,0,0,0,0,0,0,1698,1934,7402,5568,5430,1408,6067,1195,688,258,0,0,58,0,970,1694,0,13,82,976,72,420,0,0,0,0,48,70,0,0,0,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
Bacteroides ovatus,3823,2366,557,1621,64,16,177,187,233,317,1332,2259,388,989,247,177,205,128,75,164,307,27,1612,1781,45,1498,357,37,4888,97,104,187,0,0,0,0,356,0,702,0,290,1415,84,107,214,122,656,91,0,0,0,0,0,0,0,0,0,711,307,45,300,992,363,802,145,184,76,109,114,295,136,174,20,24,29,0,1446,1717,77,992,785,2467,680,19,46,52,64,455,1468,2576,22,0,1724,772,2593,1395,0,0,218,443,98,1088,1140,211,561,302,0,30,0,59,140,19,0,21,0,0,28,55,0,12,0,0,0,534,0,0,84,319,396,343,241,438,464,362,1527,819,1433,53,31,27,254,853,478,368,650,114,33,1055,651,957,290,936,1655,1593,1941,190,0,0,0,0,0,0,321,0,0,394,662,91,1641,187,5881,1574,2444,57,2019,664,292,17,50,50,67,25,28,488,114,114,55,291,38,448,153,501,745,190,387,496,613,1391,1014,897,373,97,700,1902,1462,773,639,1809,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
Prevotella_9 copri,15,59,259,0,0,0,0,0,0,0,0,0,4679,721,5532,6743,1937,6504,1936,1953,0,0,0,0,0,0,0,0,0,0,204,57,0,0,0,0,532,0,0,0,0,0,128,56,436,0,109,74,0,0,0,0,0,2313,3641,0,0,16,31,929,3519,18,5,4,0,0,17,0,0,0,0,4,1230,0,1411,210,0,0,0,0,0,0,0,0,0,0,665,884,14,11,18639,4048,393,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,148,0,0,1146,3,0,0,4279,1131,205,1526,0,0,1157,0,110,1591,0,0,0,0,0,0,0,0,0,0,3195,330,116,0,0,0,0,0,214,542,14,514,219,26,81,88,0,38,73,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,0,0,0,0,180,0,0,0,0,0,330,0,3,1465,0,0,82,0,5,0,0,0,85,198,0,833,0,0,46,0,0,8,0,0,0,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;Prevotella_9 copri
