Species-Level Features,Frequency,Percentage Cover
Phascolarctobacterium faecium,276,80-100%
Bacteroides cellulosilyticus,273,80-100%
Parasutterella excrementihominis,256,80-100%
Bacteroides vulgatus,251,80-100%
Faecalibacterium prausnitzii,236,80-100%
Alistipes putredinis,234,80-100%
Bacteroides coprocola,205,60-80%
Dialister invisus,187,60-80%
Sutterella wadsworthensis,183,60-80%
Erysipelotrichaceae UCG-003 bacterium,174,60-80%
Allisonella histaminiformans,164,40-60%
Bacteroides plebeius,157,40-60%
Bifidobacterium breve,150,40-60%
Bacteroides ovatus,142,40-60%
Alistipes obesi,141,40-60%
Lachnospira pectinoschiza,135,40-60%
Alistipes onderdonkii,124,40-60%
[Eubacterium] eligens group eligens,120,40-60%
Bacteroides massiliensis,111,20-40%
Intestinibacter bartlettii,96,20-40%
Bacteroides clarus,94,20-40%
Collinsella aerofaciens,91,20-40%
Bacteroides finegoldii,78,20-40%
Bacteroides thetaiotaomicron,71,20-40%
Odoribacter splanchnicus,62,20-40%
Butyricicoccus faecihominis,54,<20%
Bilophila wadsworthia,53,<20%
Prevotella corporis,51,<20%
Butyricimonas faecihominis,50,<20%
Veillonella parvula,50,<20%
Lachnospiraceae NK4A136 group bacterium,48,<20%
Bacteroides nordii,47,<20%
Alistipes shahii,42,<20%
Ruminococcus bicirculans,42,<20%
Ruminococcus bromii,33,<20%
grp2,23,<20%
Methylobacterium-Methylorubrum jeotgali,22,<20%
Bacteroides stercoris,15,<20%
